rank,targetid,gaia_source_id,survey,n_epochs,mjd_span,S,S_robust,d_max,delta_rv_kms,rv_err_median_kms,notes,gaia_nss_flag,gaia_nss_type,gaia_nss_notes,simbad_main_id,simbad_otype,simbad_binary_flag
23,39627745210139276,3802130935635096832,bright,4,38.9003,79.8619,19.7784,205.2440,146.0699,0.9436,LOO-drops; high-leverage(d=205),NO,,,,,NO_MATCH
24,39628051222364390,602361299180812800,dark,3,139.6182,41.3207,19.6233,38.0924,32.3500,0.3828,LOO-drops; N=3(min),NO,,,,,NO_MATCH
25,39628017550494456,4445986940359301376,dark,4,366.0244,43.4637,18.8336,63.0448,114.9747,1.3396,LOO-drops,NO,,,ATO J250.4830+09.5393,EB*,YES
26,39627836088124572,3891796860498960768,dark,3,23.9282,34.6589,17.1877,33.8004,63.9698,1.0478,LOO-drops; N=3(min),NO,,,,,NO_MATCH
27,39627624326103210,3823628002865715328,dark,5,79.7838,31.9960,16.6506,45.3236,70.9055,0.8823,LOO-moderate; N=5,NO,,,,,NO_MATCH
28,39627784951174993,2536827282401261568,dark,3,9.9846,46.8189,16.2997,66.0772,57.7055,0.6610,LOO-drops; N=3(min),NO,,,FASTT   14,RR*,NO
29,39627817100513868,3078449763965033472,dark,3,9.0016,30.2829,16.0527,26.1032,381.7968,5.8497,LOO-moderate; N=3(min),NO,,,,,NO_MATCH
30,39633325534479674,1563820480355540352,bright,3,28.9711,64.6402,15.2165,86.0218,66.8579,0.6325,LOO-drops; N=3(min),NO,,,,,NO_MATCH
31,39627981798249854,4442920432493231872,dark,5,11.9764,32.1995,14.9620,43.7759,110.9868,1.4566,LOO-drops; N=5,NO,,,,,NO_MATCH
32,39627788696688328,4410518344516247424,dark,3,16.9500,32.1495,13.2199,31.2192,51.9025,0.8724,LOO-drops; N=3(min),NO,,,,,NO_MATCH
33,39627892669286666,1732847539605117824,dark,3,3.9846,29.3629,12.6016,30.9410,111.8168,2.1317,LOO-drops; N=3(min),NO,,,,,NO_MATCH
34,39633044897796112,1331360254542953088,dark,3,19.9693,61.4522,12.1535,102.4527,51.2661,0.5057,LOO-drops; high-leverage(d=102); N=3(min),NO,,,LINEAR 18402327,RR*,NO
35,2803043443671040,2683995092712700928,bright,3,204.4059,75.2085,12.1428,127.2492,39.4922,0.2749,LOO-drops; high-leverage(d=127); N=3(min),NO,,,NSVS  14512963,RR*,NO
36,39627893713670894,2563888630087172096,dark,4,83.7672,34.9119,11.9281,73.4232,55.2025,0.7992,LOO-drops,NO,,,2MASS J01144900+0437023,RR*,NO
37,39632981127598108,1473318613122088448,dark,3,30.9022,40.9116,11.8799,54.3827,39.5232,0.5539,LOO-drops; N=3(min),NO,,,,,NO_MATCH
38,39627956523372036,3899316042564360576,dark,3,89.7440,80.1021,11.2054,112.3410,62.1535,0.4524,LOO-drops; high-leverage(d=112); N=3(min),NO,,,LINEAR 2719627,RR*,NO
39,39627889817157850,3848284482398765824,dark,3,137.6135,30.3752,10.5611,44.3901,38.9152,0.7406,LOO-drops; N=3(min),NO,,,LINEAR 16901692,RR*,NO
