rank,targetid,gaia_source_id,tier,n_epochs,mjd_span,S,S_min_LOO,S_med_LOO,S_robust,d_max,delta_rv_kms,rv_err_median_kms
132,39628523178036863,1324477513614904960,B,2,30.9001,41.8585,0.0000,0.0000,0.0000,36.3100,39.2340,0.6531
133,39627746271297716,4418142117622280192,B,2,1.9795,41.8443,0.0000,0.0000,0.0000,34.9542,62.8666,1.0514
134,39628195980381186,2784613837016435456,B,2,30.9270,41.7296,0.0000,0.0000,0.0000,34.5296,35.1734,0.5905
135,39627808472832544,2679227094898602496,B,2,7.0019,41.4713,0.0000,0.0000,0.0000,30.8700,22.3920,0.3813
136,39627763291785209,3803133758958356096,B,2,31.9086,41.0903,0.0000,0.0000,0.0000,30.0853,362.8555,6.2407
137,39627785597094906,3264316707082513408,B,2,2.9908,40.9721,0.0000,0.0000,0.0000,41.0980,40.2085,0.6700
138,39627691212670830,3597225325912018944,B,2,46.8751,40.7282,0.0000,0.0000,0.0000,29.0139,148.3938,2.5763
139,39628139566990691,655297522725970048,B,2,17.9453,40.7027,0.0000,0.0000,0.0000,33.3114,27.4803,0.4735
140,2802987349049344,1153395398414295936,B,2,4.9685,40.6821,0.0000,0.0000,0.0000,39.4042,23.2330,0.3920
141,39627700603716437,2481263080038907648,B,2,1.9801,38.9000,0.0000,0.0000,0.0000,28.3804,71.6657,1.3021
142,39627700876349936,5185714410492461056,B,2,87.7817,38.8265,0.0000,0.0000,0.0000,30.6395,35.7916,0.6486
143,39627847861536737,3809483610408135680,B,2,2.9766,37.7957,0.0000,0.0000,0.0000,31.2511,44.9607,0.8334
144,39627722045000955,,B,2,5.9909,37.7715,0.0000,0.0000,0.0000,30.8417,439.9387,8.1702
145,39627690793241518,3778257785121736320,B,2,102.7143,37.5659,0.0000,0.0000,0.0000,28.0819,399.3159,7.5059
146,39627821743605858,584630948352256,B,2,94.7510,37.2286,0.0000,0.0000,0.0000,31.1818,40.1737,0.7550
147,39633076870973106,768044606129803008,B,2,67.8143,37.2250,0.0000,0.0000,0.0000,27.6846,394.8728,7.4921
148,39627702587621829,3825578502133693696,B,2,1.9915,37.0439,0.0000,0.0000,0.0000,29.8232,44.6859,0.8473
149,39632987070929093,4605421967543999488,B,2,3.9825,36.8096,0.0000,0.0000,0.0000,27.0376,156.9563,3.0131
150,39632979995132933,882622582556644480,B,2,65.8081,36.7002,0.0000,0.0000,0.0000,28.1944,65.0738,1.2501
151,39628055597024565,72568974319675904,B,2,58.8321,36.5596,0.0000,0.0000,0.0000,29.3310,49.2378,0.9463
152,39627811538865400,3855253805571090688,B,2,22.9359,36.4334,0.0000,0.0000,0.0000,26.3924,31.7160,0.6154
153,39628084600639352,2766719903750203008,B,2,0.9877,36.2958,0.0000,0.0000,0.0000,28.8355,332.8548,6.4491
154,39627998084730740,3875948980932816768,B,2,118.6712,36.2619,0.0000,0.0000,0.0000,26.5772,66.4111,1.2942
155,39628313743859390,4556960339716107520,B,2,365.9999,36.0138,0.0000,0.0000,0.0000,25.7334,333.8752,6.5551
156,39628387441968360,295104011748022784,B,2,62.8224,34.7266,0.0000,0.0000,0.0000,25.3180,36.6117,0.7452
157,39627983790541265,2578100814308709504,B,2,18.9507,34.6536,0.0000,0.0000,0.0000,25.2613,42.5769,0.8684
158,39627954203920002,19334637097239808,B,2,0.9882,34.6316,0.0000,0.0000,0.0000,24.6617,26.8917,0.5491
159,39627878953911236,3668389291874886528,B,2,0.9837,34.3300,0.0000,0.0000,0.0000,28.2786,69.4289,1.4174
160,39628374750007917,4581881354874051840,B,2,366.9908,34.0853,0.0000,0.0000,0.0000,25.8207,28.9700,0.5997
161,39632971279371284,1458953184467535616,B,2,340.0695,33.9820,0.0000,0.0000,0.0000,24.8029,107.9343,2.2449
162,39627967646669334,3097060411310661376,B,2,1.9862,33.7622,0.0000,0.0000,0.0000,24.1612,20.6920,0.4333
163,39627771797837631,4226517581866431488,B,2,241.3263,33.5854,0.0000,0.0000,0.0000,25.4306,29.0322,0.6100
164,39627824260189921,3691197118699941376,B,2,33.8989,33.3294,0.0000,0.0000,0.0000,26.2331,38.0065,0.8025
165,39627872192692921,3800793856480520704,B,2,14.9576,33.2208,0.0000,0.0000,0.0000,23.5608,37.7981,0.8045
166,39628031827905805,72154522860130176,B,2,84.7631,33.1129,0.0000,0.0000,0.0000,24.0635,72.0565,1.5382
167,39628147607475485,4546426709080480128,B,2,2.9781,32.8931,0.0000,0.0000,0.0000,27.1946,369.0453,7.8602
168,39628041223144112,4456430788994945024,B,2,1.9979,32.3761,0.0000,0.0000,0.0000,24.0266,89.7835,1.9588
169,39627945681094859,4438765004391626112,B,2,1.9815,32.3432,0.0000,0.0000,0.0000,23.0844,21.8659,0.4780
170,39628372464108377,867939227539657472,B,2,26.9189,32.1141,0.0000,0.0000,0.0000,23.5116,15.5513,0.3422
171,39628071141114874,4540875721549886720,B,2,379.9676,32.0045,0.0000,0.0000,0.0000,23.6723,15.8832,0.3506
172,39627802407863916,2678987259629735552,B,2,9.9766,31.9103,0.0000,0.0000,0.0000,33.1481,305.3148,6.4960
173,39628116540262751,615217403311270272,B,2,34.9070,31.7292,0.0000,0.0000,0.0000,23.8455,35.5537,0.7910
174,39627842438303976,3712462223337060992,B,2,76.7931,31.5298,0.0000,0.0000,0.0000,22.4392,20.5408,0.4607
175,39627788591827061,4418774439887584128,B,2,1.9769,31.4365,0.0000,0.0000,0.0000,34.3744,50.9840,1.0920
176,39627860855489634,3656317444475878912,B,2,9.9747,31.2557,0.0000,0.0000,0.0000,22.7428,73.6852,1.6664
177,39627973686464511,596074738369296128,B,2,5.9889,31.2367,0.0000,0.0000,0.0000,29.8775,33.5745,0.7391
178,39627913787608085,579697169075347328,B,2,135.6287,31.1786,0.0000,0.0000,0.0000,23.3849,13.4106,0.3037
179,39628398414266839,297672672773529856,B,2,31.9034,31.1330,0.0000,0.0000,0.0000,22.5991,40.3451,0.9160
180,39627788298228002,3659959890275621120,B,2,250.3126,30.8370,0.0000,0.0000,0.0000,23.1091,25.1370,0.5755
181,39628317267068598,665986944704568832,B,2,15.9732,30.8246,0.0000,0.0000,0.0000,22.7617,22.4597,0.5148
182,39627860360562252,3706541387581576960,B,2,14.9472,30.7797,0.0000,0.0000,0.0000,23.4833,30.8700,0.7074
183,39627755725263281,3229261046573541504,B,2,0.9993,30.6584,0.0000,0.0000,0.0000,32.1582,131.2391,2.9018
184,39632947036296788,4603658552754854528,B,2,3.9825,30.5376,0.0000,0.0000,0.0000,21.6459,41.9646,0.9717
185,39627993609408709,4440373757404039936,B,2,369.9680,30.1054,0.0000,0.0000,0.0000,22.5347,61.3767,1.4395
186,39627702772171518,3780558478842765568,B,2,112.6924,29.8204,0.0000,0.0000,0.0000,29.0088,43.8387,1.0083
187,39633000748550328,1516845181792721024,B,2,31.8976,29.8012,0.0000,0.0000,0.0000,21.1840,40.1455,0.9525
188,39627630240072263,5757936962082448512,B,2,16.9537,29.4478,0.0000,0.0000,0.0000,23.0120,59.7871,1.4297
189,39627630856636146,3593370682958736128,B,2,89.7579,29.3951,0.0000,0.0000,0.0000,20.9386,18.2988,0.4402
190,39627891561994138,4434326722626570624,B,2,21.9467,29.3898,0.0000,0.0000,0.0000,20.9426,47.5967,1.1451
191,39633154289437764,1350014083487504128,B,2,0.9868,29.2528,0.0000,0.0000,0.0000,21.6963,95.4532,2.3049
192,39627622430283850,2466739600883298432,B,2,34.9095,29.0684,0.0000,0.0000,0.0000,25.7822,41.0862,0.9821
193,39627587160376511,3185978603843419008,B,2,20.9572,28.9991,0.0000,0.0000,0.0000,28.0396,35.7129,0.8455
194,2803699864829952,1289019642305361536,B,2,32.8897,28.7398,0.0000,0.0000,0.0000,25.6055,22.8886,0.5531
195,39627856430503628,1730967447736460032,B,2,2.9820,28.0540,0.0000,0.0000,0.0000,28.1461,45.1330,1.0983
196,39627951481818321,4430565946181543808,B,2,304.1613,27.9003,0.0000,0.0000,0.0000,21.7306,30.2718,0.7642
197,39627920607545906,3900262378478009472,B,2,6.9849,27.7378,0.0000,0.0000,0.0000,20.2738,379.9802,9.6817
198,39628415946457314,872222130270407680,B,2,47.8537,27.5280,0.0000,0.0000,0.0000,20.0888,31.5022,0.8088
199,39627901724792205,580024441287925888,B,2,112.6955,27.3807,0.0000,0.0000,0.0000,20.8675,67.7930,1.7465
200,39627790756094381,2642125891790355584,B,2,3.9971,27.3049,0.0000,0.0000,0.0000,23.3103,37.8598,0.9680
